title,labels
Intellisense suggestions - jump to next types of completions,"['needs more info', 'suggest']"
Unable to delete multiple Watch debug variables simultaneously via hotkey,"['debug', 'feature-request']"
The TypeScript language service died 5 times right after it got started. The service will not be restarted.,"['needs more info', 'typescript']"
Terminal Crash in VSC,"['integrated-terminal', 'needs more info']"
HTML: Exit mirror mode when going to new line,"['bug', 'html', 'verified']"
Array<number>.sort() is sorting using string comparison,['bug']
Red breakpoint no longer show up,"['*duplicate', 'debug', 'important']"
Check update not work,['integrated-terminal']
Fedora 31 dnf package missing a need dependency for toolbox install,"['*duplicate', 'install-update']"
Problems with cursor moving backward mid-word,['needs more info']
"Show ""breadcrumb bar"" in ""find references"" preview window","['*duplicate', 'breadcrumbs']"
Find symbol stops highlighting updates,"['needs more info', 'outline', 'quick-pick', 'windows']"
 Debug Failure. False expression: Script should not exist and not be open already,"['bug', 'typescript', 'verified', 'windows']"
Integrated Terminal Failing,"['integrated-terminal', 'needs more info']"
Links in enum setting values can't be clicked,"['bug', 'settings-editor']"
Tasks inputs accept shell types. ,"['feature-request', 'tasks']"
"Overflow menu bar shows ""..."" tooltip","['bug', 'menus']"
Extension recommendation for .git files appearing when no .git file is opened,"['bug', 'candidate', 'git']"
Differentiate between the two WCAG links (minimum and enhanced),"['bug', 'integrated-terminal']"
Integrated terminal width too narrow,"['integrated-terminal', 'needs more info']"
Double '...' after overflowing SCM provider row,['scm']
typescrypt server crashes,['needs more info']
"Attempting to delete node_modules dir in VSCode workspace fails EPERM: operation not permitted, unlink ...","['javascript', 'typescript', 'upstream-issue-linked']"
Simple file dialog - can't open network share,"['bug', 'simple-file-dialog']"
"CustomExecution starts built-in extensions, displays error message if no workspace open","['bug', 'tasks']"
Resolution adaption after switching from an external monitor,"['confirmation-pending', 'electron', 'electron-6.0.x-update', 'mac', 'upstream-issue-linked']"
Misalignment in icon,"['icons-product', 'needs more info']"
Option to keep React import at the the top when using Organize Imports,['javascript']
Semantic Tokens API,"['plan-item', 'semantic-tokens']"
"Compact explorer tree nodes don't narrate ""Expanded"" and ""Collapsed""","['accessibility', 'bug', 'file-explorer']"
breadcrumb: functions are nested,['needs more info']
"Error processing ""restartFrame"": Error: Internal error","['bug', 'candidate', 'debug', 'verified']"
Indentation error,"['editor-autoindent', 'under-discussion']"
Compact folders: Context menu actions not focus aware when selection is set,"['bug', 'file-explorer', 'verified']"
Image fails to show when file is being renamed,"['bug', 'verified']"
Can't connect to Jupyter notebook (only with VS Code),['*caused-by-extension']
"Folder name is equal to another folder, only show one",['needs more info']
vscode.executeCodeActionProvider sometimes returns code actions with missing commands,"['editor-code-actions', 'needs more info']"
Write tests for settings sync and merging,"['debt', 'settings-sync']"
Write tests for extensions merging and syncing,"['debt', 'settings-sync']"
Web: cannot open images in selfhost anymore,"['bug', 'edge', 'web']"
macOS Safari: cannot drag-n-drop files from Finder/Desktop into VS Code,"['invalid', 'web']"
"Add ""Snippet: Surround With....""","['feature-request', 'snippets']"
Data Viewer show shifting columns in Dataframe,['*caused-by-extension']
"macOS Safari: ""undo typing"" doesn't work",['needs more info']
выделение и копирование текста в Interactive Playground,['workbench-welcome']
'Open File' missing from img diff,['custom editors']
macOS Safari: no custom context menus,['needs more info']
[semantic tokens] Cannot customize styles based on programming language,"['editor-theming', 'feature-request', 'semantic-tokens']"
Diff shows error for untracked image,"['bug', 'custom editors']"
Delete a leaf node is deleting the parent node,"['bug', 'file-explorer', 'verified']"
Debug: protocol corruption,['needs more info']
Snippet replace when before prefix,"['bug', 'snippets', 'suggest']"
Passing input arguments to task from preLaunchTask,"['*out-of-scope', 'feature-request']"
Source Control option Stash is not working properly,['git']
Go to definition in Node Typescript project,['integrated-terminal']
"Insiders failed to launch for test run using vscode-test (""Could not delete obsolete instance handle"" - sock file missing?)","['bug', 'extensions-development']"
C # class library for VSCode generating netcore3.0,['*caused-by-extension']
Explorer: button is not same width anymore,"['bug', 'file-explorer']"
"Feature request: Reuse a task window, without closing it","['feature-request', 'tasks']"
Terminal not visible,"['*duplicate', 'integrated-terminal']"
"Using software, stuck after a period of time","['*caused-by-extension', 'integrated-terminal']"
Bottom of window not rendered ,['integrated-terminal']
"""Close All"" in editor group should show combined dialog","['feature-request', 'workbench-editors']"
golang-start without debugging does not working,['*caused-by-extension']
How to get pylint to ignore some errors,['*caused-by-extension']
Unable to open VS Code on Ubuntu VM instance on Google Cloud,"['*duplicate', 'needs more info']"
How can I get root in WSL1?,['*caused-by-extension']
"Issue during auto built for local browser ""serve""",['*extension-candidate']
Add search/filter in debug pane,"['*duplicate', '*question']"
While pulling git repository System.IO.FileNotFoundException: Could not load file or assembly GitHub.Authentication,['*caused-by-extension']
issues opening html in browser,"['*caused-by-extension', 'integrated-terminal', 'needs more info']"
grpc issues,['needs more info']
Line Numbers Dissapear After Exiting Zen Mode,['needs more info']
Intellisense dialog position wrongly,['*duplicate']
Not able to hit the breakpoints set on TS files which are present inside the node_modules folder,['debug']
Explorer can't Show two directories whose names have the same letters but differ in capitalization.,['file-explorer']
Visual Studio Code cannot be opened because Mac cannot check it  for malicious software,"['*duplicate', 'extensions']"
Vim in Linux - middle button paste on search,"['VIM', 'feature-request']"
need rename package name,"['extensions', 'marketplace']"
Problemmatcher not work over ssh,['tasks']
Replace in Files inserts replacement text in wrong location,"['*duplicate', 'needs more info']"
problems.showCurrentInStatus disappears when toggling problems from multiple files,"['bug', 'error-list', 'verified']"
Incorrect keyboard shortcut shown in edit menu,"['integrated-terminal', 'needs more info']"
problems.showCurrentInStatus message not changing,['error-list']
Layering: compact menubar underlays debug menu,['polish']
Settings Editor input suggestion displays incompletely,"['bug', 'settings-editor', 'verified']"
Git decorations lasting far beyond their relevance,['git']
Search results summary doesn't meet WCAG AA contrast,['accessibility']
Keybindings when column doesn't use SPAA,['lcd-text-rendering']
Extension publishers and disabled extension titles don't use SPAA,"['*duplicate', 'lcd-text-rendering']"
"Debug call stack ""[ Immediate ]"" text is too low contrast","['accessibility', 'debug']"
"Hovering ""[ Immediate ]"" in call stack shifts the text to the left","['bug', 'debug', 'verified']"
"""[ Immediate ]"" in call stack view doesn't use SPAA","['bug', 'debug']"
Status bar doesn't use SPAA,"['lcd-text-rendering', 'workbench-status']"
Notification center header does not use SPAA,"['help wanted', 'lcd-text-rendering', 'workbench-notifications']"
Java Compiler Errors,['*caused-by-extension']
Settings modified labels don't use SPAA,['lcd-text-rendering']
Quick pick doesn't use SPAA,"['bug', 'lcd-text-rendering', 'quick-pick']"
Overload count escapes container,"['bug', 'verified']"
Markdown word not highlighting when using underscore to mark italic,"['bug', 'markdown']"
Failed to install error message when I try any extension install,['extensions']
Semantic Tokens: Provide a sample,['semantic-tokens']
Semantic Tokens: Embedded languages,['semantic-tokens']
Remote Explorer help links confusing,"['bug', 'polish', 'remote', 'verified']"
Call Hierarchy view sometimes highlights inside the peek (if open),"['callhierarchy', 'polish']"
Call Hierarchy view root node doesn't highlight in the editor,['*duplicate']
No tooltip when hovering link in terminal,['needs more info']
I do not load the interface,['integrated-terminal']
Tasks inputs is not properly accepting commands,"['*as-designed', 'tasks']"
"select-all then copy, does not work in debug console",['*duplicate']
Call Hierarchy Peek menu disappears if peek is already open,"['bug', 'callhierarchy', 'verified']"
"Mouse cursor does not reset to ""edit cursor"" when discarding/closing context-menus","['confirmed', 'electron', 'macos-catalina', 'menus']"
Call Hierarchy peek doesn't resize correctly,"['bug', 'callhierarchy', 'verified']"
Url in terminal surrounded by parentheses picks up closing parenthesis in url,"['*duplicate', 'integrated-terminal']"
Search Editor Preview: Add more fine-grained TM Scopes,['feature-request']
Sub-menus can sometimes open and be hard to see where it opened,"['menus', 'polish']"
References peek should have an action button to open in the view,"['*duplicate', 'references-viewlet']"
Call Hierarchy peek should have an action button to open in the view,"['*duplicate', 'references-viewlet']"
Exposing API for the peek diff window,"['api', 'diff-editor', 'feature-request']"
Call Hierarchy should not have nodes with chevrons without any children,"['callhierarchy', 'under-discussion']"
Search view checkboxes use greyscale aa,"['bug', 'lcd-text-rendering']"
Custom dialogs use greyscale aa,"['bug', 'dialogs', 'lcd-text-rendering']"
Minimal icon theme should use icon font,"['icons-product', 'lcd-text-rendering']"
Extension viewlet entries use some greyscale aa,"['*duplicate', 'lcd-text-rendering']"
Call Hierarchy view should show both incoming & outgoing at the same time,['*as-designed']
"Call Hierarchy phone icon doesn't fit the ""vscode"" style (imo)","['callhierarchy', 'icons-product', 'polish']"
Semantic Tokens: Update TM scope inspector to include semantic coloring info,['semantic-tokens']
Semantic Tokens: Color shifting between different tokens,"['bug', 'semantic-tokens', 'verified']"
Provide a context key for the selected debug mode,['debug']
Should pasting newline with auto-indent move the cursor + inconsistencies when pasting newlines,"['editor-autoindent', 'polish']"
Call Hierarchy provider - Failed to show call hierarchy,"['bug', 'callhierarchy', 'verified']"
[themes] IconTheme doesn't work with spaces in names,"['bug', 'themes']"
Sync: Stop requesting when a 401 is received,['settings-sync']
Enable telemetry for Settings Sync usage,"['feature-request', 'settings-sync']"
Firefox: Menu items like to move it move it (on click),"['firefox', 'web']"
Workbench Notification Improvements,['needs more info']
Remote icon is not aligned in Show Running Extensions command,"['bug', 'extensions', 'polish', 'verified']"
Multi-line string formatting not working in hover,['*caused-by-extension']
authorize an org is not wokring,"['*caused-by-extension', 'needs more info']"
Settings UI links to settings don't work,['*duplicate']
Search history pollution with search.searchOnType enabled,"['bug', 'search', 'verified']"
Use markdownDescription and markdownEnumDescription in terminal contributions,"['bug', 'integrated-terminal', 'verified']"
fix #85938: prevent duplicate selections,['file-explorer']
Sync: Extension notification overload,"['*duplicate', 'settings-sync']"
Sync: Unable to re-trigger sign in after closing browser tab,"['bug', 'settings-sync']"
Windows explorer icons,"['install-update', 'windows']"
"[semantic tokens] The concept of ""-"" minus feels weird","['editor-theming', 'semantic-tokens']"
[semantic tokens] Use singular for token type names,"['feature-request', 'semantic-tokens']"
Live update to log files in editor,['*caused-by-extension']
Unable to start debugging (no connection to GDB),['*caused-by-extension']
NVM causes strange terminal errors,['javascript']
Chinese can't trigger suggestion in registerCompletionItemProvider ,"['bug', 'suggest']"
Activity Bar grouping,"['feature-request', 'workbench-views']"
UX to show sync errors,"['feature-request', 'settings-sync', 'ux']"
StatusBar Height - StatusBar content gets cut off,"['*duplicate', 'integrated-terminal']"
"Support for string case handling (ie: pascal, camel, kebab...)","['*out-of-scope', 'search']"
Azure Repos extension icons not rendered in Status Bar,['extensions']
Write extension action tests for multi extension kind,"['debt', 'extensions']"
Enable keybindings sync tests,"['debt', 'settings-sync']"
getMultiSelectedResources should be removed,"['debt', 'file-explorer']"
Javascript error main process,['needs more info']
Toggle References View Position,"['*duplicate', 'search']"
Right-click menu behind 'Branch name' menu,"['*duplicate', 'menus', 'quick-pick']"
Highlight still appers different colors,['*as-designed']
can't reach hidden task bar with position top when vscode window maximized,"['confirmed', 'electron', 'electron-6.0.x-update', 'titlebar', 'windows']"
Electron 7: black title bar always present,"['confirmed', 'electron', 'electron-7-update', 'macos-catalina', 'titlebar']"
Firefox on macOS: drag-n-drop to desktop doesn't work,"['bug', 'file-explorer', 'firefox']"
Electron 7: going full screen makes the whole screen flickr,"['confirmed', 'electron', 'electron-7-update', 'mac', 'workbench-zen']"
Electron 7: going simple full screen turns everything white,"['confirmed', 'electron', 'electron-7-update', 'important', 'mac', 'workbench-zen']"
Settings UX allows user selection,['needs more info']
VSCode force opening window on error,"['*question', 'debug']"
Firefox on macOS: discrepancy in dropdown menu look,['*duplicate']
Intellisense for trimStart() and trimEnd(),"['*question', 'javascript']"
Emmet abbreviation shown above list of CSS property completions ,"['*as-designed', 'css-less-scss']"
Restart frame: make it less nervous,['debug']
[scss] @use proposals: Don't use CompletionItemKind.Text,"['bug', 'css-less-scss', 'verified']"
Python Interactive Window Disappears When Clicking Left Side after latest insider update,['*caused-by-extension']
Markdown Side Preview disappearing when *.md tab in focus/edited,['markdown']
Search result in editor tab: Configure what to show,['*out-of-scope']
suggest widget misplaced,['*duplicate']
Make breakpoint candidates less noisy,"['debug', 'feature-request']"
Search Editor Preview: Support syntax highlighting,"['feature-request', 'search', 'verification-needed']"
Search Editor Preview: Highlight file in paths,"['*duplicate', 'search']"
Hover information in package.json is mis-aligned,"['bug', 'important', 'regression', 'verified']"
"VSCode 的代码补全总是出现在屏幕中央, 而不是光标处","['*english-please', 'integrated-terminal']"
Liveshare can not remove text,['*caused-by-extension']
Search field autofocus issue,"['bug', 'verified']"
pls provide direct download links for SSH remote extension (VS Code server Work space Extension) download,['extensions']
Support `code --install-extension` on the remote,"['feature-request', 'remote']"
中文乱码 ,"['*english-please', 'integrated-terminal']"
SHORTCUT NOT WORKING,"['*question', 'integrated-terminal']"
Give application wise theme enabling option.,"['needs more info', 'search']"
Hovers no longer show up above the current line,['*duplicate']
"cannot view contents of Map<DateTime, List>  while debugging",['*caused-by-extension']
"Debug Launch.json Configure “cwd” other than ""${workspaceFolder}"" doesn't work",['*caused-by-extension']
Windows Timer Resolution always increased to 1ms while code.exe is running,"['confirmed', 'electron', 'perf', 'windows']"
Auto Refresh when Re-accessing Release Note / Extensions Instructions tabs,['*duplicate']
multiprocessing no longer working while debugging (it works on terminal though),['*caused-by-extension']
Unresponsive & freezes,['needs more info']
onDidDeleteFiles misfires when file is already deleted from a different app,['file-io']
Keep selected item when typing line numbers,"['feature-request', 'quick-pick', 'search']"
Bad state while resolving keybindings conflicts,"['bug', 'settings-sync']"
Deleting/Renaming a folder in explorer doesn't return all the affected files in the event listener,['*as-designed']
"Cancelling ""Add a port"" forwards port 0","['bug', 'remote']"
Give `html.autoSelectingMatchingTags` a more descriptive name,"['html', 'polish']"
Deleting multiple files through explorer invokes the event listeners per file,"['feature-request', 'file-explorer']"
Remote Explorer: Either hide WSL on non-Windows OS or show some information,"['bug', 'remote', 'verified']"
Remote Explorer UI: UI consistency with Debug Viewlet,"['*duplicate', 'polish']"
SCM decoration colors in the overview ruler don't match minimap and gutter ,"['themes', 'under-discussion']"
scm.diffDecorations missing enum descriptions,"['bug', 'git', 'verified']"
JS/TS fatal errors should log TSServer error body,"['feature-request', 'verification-needed', 'verified']"
Reduce files in vscode remote distro,"['engineering', 'feature-request', 'remote']"
Search editor query is deescaped when refreshing,"['bug', 'verified']"
Make remote timeout configurable,"['feature-request', 'remote']"
 TreeError [MarkersPanel] Tree element not found: [object Object],['error-list']
Refreshing search editor doesn't work in CRLF mode,"['bug', 'verified']"
Search results editor - problems triggering hover on Linux,['search']
Closing empty file with undo history should show a confirmation message,"['feature-request', 'workbench-editors']"
Git status add and modified decorations in minimap too narrow on high contrast theme,"['accessibility', 'bug', 'verified']"
code-search files should be excluded from all searches,"['bug', 'verified']"
WebGL Renderer: selection not rendered in background,"['bug', 'integrated-terminal', 'upstream', 'upstream-issue-linked']"
WebGL Renderer: characters not positioned correctly,['*duplicate']
Extension View's publisher have greyscale rendering,"['bug', 'extensions', 'lcd-text-rendering']"
Compact Folders: Shift+F10 changes focused folder,['*duplicate']
Show hover information on CSS/SCSS at-rules,"['css-less-scss', 'feature-request']"
"Completion in json settings adds and extra "" in some cases","['*duplicate', 'bug', 'suggest']"
Search editor match highlight background is too dark,['polish']
Suggest widget has greyscale rendering,"['lcd-text-rendering', 'suggest', 'ux']"
Better linting support for sass variable references via @use,['*caused-by-extension']
experimental webgl markdown link is broken,"['bug', 'integrated-terminal', 'verified']"
Sync: Large settings cause a retry loop,"['bug', 'settings-sync']"
Sync: provide a command to forcefully sync,"['needs more info', 'settings-sync']"
Javascript: code blocks auto indent improperly when apostrophes/quotation marks are present,"['editor-autoindent', 'help wanted', 'javascript', 'typescript']"
Clicking into the hatched area in a diff doesn't focus the editor,"['bug', 'diff-editor', 'verified']"
Semantic tokens: Use of array buffers with wrapping objects,['semantic-tokens']
Sync: Settings conflict file closes when opening the editor,"['bug', 'settings-sync']"
Cntrl + Shift + E should toggle explorer pane,['*duplicate']
GIT isn't recognized in VsCode,"['*as-designed', 'git']"
VsCode starts into the same Workspace everytime,['needs more info']
Semantic tokens: Allow extensions to provide tokens eagerly,['semantic-tokens']
Semantic tokens: When is SemanticTokensRequestOptions given?,['semantic-tokens']
Semantic tokens: No documentation on how/why to use resultId,['semantic-tokens']
Semantic tokens: Tokenization appears to be really slow,"['bug', 'semantic-tokens', 'verified']"
Custom Marketplace URL,['extensions']
CTRL+ALT+ARROW should not delete empty lines,"['*duplicate', '*question']"
Webview editor z-index,"['*duplicate', 'webview']"
[html] no suggestion for closing tag,"['*as-designed', 'html']"
[html] auto rename weird cursor state management,"['*as-designed', 'needs more info']"
[html] auto rename broken state when deleting tags,['needs more info']
[Contributing] Format Document command doesn't apply correct format for PRs to this repo,['*dev-question']
Not able to install extension with multiple kinds to other location,['needs more info']
Only one install option for extensions that list multiple extension kinds,['*as-designed']
[html] auto rename doesn't exit when move cursor the end of line,"['bug', 'html', 'verified']"
[Contributing] repo probably shouldn't have both .prettierrc.json and tsfmt.json,['needs more info']
[html] auto rename doesn't exit when deleting at the end of a tag,['*as-designed']
"terminal not work, exit code: {0}","['*duplicate', 'integrated-terminal']"
Missing hot exit for custom editors?,['custom editors']
Custom editor webviews should not be recreated on rename,['custom editors']
Consider providing link to WCAG doc in terminal.integrated.minimumContrastRatio setting description,"['bug', 'integrated-terminal', 'verified']"
Problems view filter input should prioritize showing problem count when the input becomes narrow,['*out-of-scope']
Terminal minimum contrast ratio not met for dom renderer,"['bug', 'integrated-terminal']"
Extension host terminated unexpectedly.,"['extensions', 'needs more info']"
problems.showCurrentInStatus: Clicking on error in status bar should do something (maybe f8),"['error-list', 'feature-request', 'polish']"
Menu system crashes when run on Linux Mint inside of VirtualBox,['*duplicate']
problems.showCurrentInStatus should not require cursor to be inside error,"['error-list', 'feature-request']"
Debug color tokens missing/inaccurate description text,"['bug', 'verified']"
Include link to clear filters in problems view empty message,"['error-list', 'polish']"
Still show total count of problems even when all problems are filtered out,['error-list']
Incorrect shortcut is displayed for Focus Breadcrumbs,"['bug', 'keyboard-layout', 'verified']"
Semantic tokens: Feedback on use of word bitmap in API docs,"['bug', 'semantic-tokens', 'verified']"
ProgressCallback should be throttled instead of debounced,['debt']
Newest version clobbers window manager keyboard shortcuts,"['accessibility', 'confirmed', 'electron', 'electron-6.0.x-update', 'mac', 'upstream']"
Search results does not persist on reload when search input has text,"['bug', 'verified']"
[call heiarchy] root result not highlighted,"['bug', 'callhierarchy', 'verified']"
Allow SCM decorations to be shown in subsets of their locations,"['editor-minimap', 'feature-request', 'scm']"
Breakpoints show up as white in Firefox,"['bug', 'debug', 'verified']"
nonintuitive iconage in call heiarchy,"['callhierarchy', 'polish']"
Semantic tokens proposed API lacks a link to the tracking issue,"['debt', 'semantic-tokens']"
Call hierarchy duplicate entries ,['extensions']
Print a warning when completion provider change the insert behaviour during resolve,"['api', 'polish', 'suggest']"
Extra quote is added when completing settings,"['*duplicate', 'regression']"
Web UI: application menu is empty,"['bug', 'verified']"
Opening search results in editor should not create duplicate tabs if results are unchanged,"['bug', 'verified']"
[Bug]Terminal: garbage characters on scroll after running child_process,"['*as-designed', 'integrated-terminal', 'needs more info']"
Go to References with a single reference could cause confusion,"['editor-symbols', 'polish']"
Node debugging doesn't work in Web UI,"['debug', 'invalid']"
DOM renderer doesn't apply min contrast ratio to true color cells,"['*duplicate', 'bug', 'integrated-terminal']"
"Strange casing with ""Debug And Run""","['debug', 'polish']"
