textid: 0   predict_label: ['bug', 'needs-more-info', '*caused-by-extension', 'debug', '*duplicate']
textid: 80   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'debug']

textid: 81   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 82   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*question']

textid: 83   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*question']

textid: 84   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 85   predict_label: ['feature-request', '*duplicate', 'needs-more-info', 'bug', '*caused-by-extension']

textid: 86   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', '*question', 'bug']

textid: 87   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 88   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 89   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 90   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 91   predict_label: ['*duplicate', 'bug', 'feature-request', 'needs-more-info', '*as-designed']

textid: 92   predict_label: ['bug', '*duplicate', 'feature-request', '*question', '*caused-by-extension']

textid: 93   predict_label: ['*duplicate', '*caused-by-extension', 'needs-more-info', 'bug', 'debug']

textid: 94   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*question']

textid: 95   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', 'debug']

textid: 96   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 97   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 98   predict_label: ['*caused-by-extension', '*duplicate', 'needs-more-info', 'bug', '*as-designed']

textid: 99   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 100   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*question']

textid: 101   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 102   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', 'debug']

textid: 103   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*as-designed']

textid: 104   predict_label: ['*caused-by-extension', 'bug', 'needs-more-info', '*duplicate', 'feature-request']

textid: 105   predict_label: ['needs-more-info', '*duplicate', 'bug', '*as-designed', '*question']

textid: 106   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', '*question']

textid: 107   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 108   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 109   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 110   predict_label: ['needs-more-info', 'bug', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 111   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', '*caused-by-extension']

textid: 112   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 113   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 114   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 115   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', '*as-designed']

textid: 116   predict_label: ['needs-more-info', 'bug', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 117   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 118   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 119   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*question']

textid: 120   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 121   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', '*question']

textid: 122   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'debug']

textid: 123   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', '*question']

textid: 124   predict_label: ['feature-request', 'bug', '*duplicate', 'needs-more-info', 'debug']

textid: 125   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', '*question']

textid: 126   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 127   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 128   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 129   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*as-designed']

textid: 130   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', 'feature-request']

textid: 131   predict_label: ['bug', 'feature-request', '*duplicate', '*caused-by-extension', '*as-designed']

textid: 132   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 133   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 134   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 135   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 136   predict_label: ['needs-more-info', 'bug', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 137   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', '*question', 'bug']

textid: 138   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', 'debug']

textid: 139   predict_label: ['bug', 'feature-request', '*question', 'needs-more-info', '*caused-by-extension']

textid: 140   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 141   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 142   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', 'feature-request']

textid: 143   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', '*as-designed']

textid: 144   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', 'debug']

textid: 145   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 146   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', 'feature-request']

textid: 147   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 148   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 149   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 150   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 151   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 152   predict_label: ['bug', '*duplicate', '*extension-candidate', 'needs-more-info', 'feature-request']

textid: 153   predict_label: ['needs-more-info', '*caused-by-extension', '*duplicate', 'feature-request', '*question']

textid: 154   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 155   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 156   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 157   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', '*question']

textid: 158   predict_label: ['*duplicate', '*caused-by-extension', 'bug', 'needs-more-info', 'feature-request']

textid: 159   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 160   predict_label: ['bug', 'feature-request', 'needs-more-info', '*caused-by-extension', 'debug']

textid: 161   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 162   predict_label: ['bug', '*caused-by-extension', 'needs-more-info', '*duplicate', 'debug']

textid: 163   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 164   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*question']

textid: 165   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 166   predict_label: ['*duplicate', 'bug', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 167   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 168   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 169   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 170   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 171   predict_label: ['*duplicate', 'bug', '*caused-by-extension', 'needs-more-info', 'feature-request']

textid: 172   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 173   predict_label: ['*duplicate', 'needs-more-info', 'bug', 'feature-request', '*caused-by-extension']

textid: 174   predict_label: ['*duplicate', '*caused-by-extension', 'bug', 'needs-more-info', 'feature-request']

textid: 175   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 176   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', '*question']

textid: 177   predict_label: ['*duplicate', '*caused-by-extension', 'bug', 'needs-more-info', '*question']

textid: 178   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 179   predict_label: ['*duplicate', 'needs-more-info', '*question', 'bug', '*caused-by-extension']

textid: 180   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 181   predict_label: ['needs-more-info', '*duplicate', 'bug', '*question', 'feature-request']

textid: 182   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 183   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 184   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 185   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 186   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', '*as-designed']

textid: 187   predict_label: ['bug', '*duplicate', 'needs-more-info', 'debug', '*caused-by-extension']

textid: 188   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 189   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 190   predict_label: ['*duplicate', 'bug', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 191   predict_label: ['*duplicate', 'bug', '*caused-by-extension', 'needs-more-info', '*question']

textid: 192   predict_label: ['*duplicate', 'bug', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 193   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*as-designed']

textid: 194   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*as-designed']

textid: 195   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 196   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 197   predict_label: ['bug', '*caused-by-extension', '*duplicate', '*as-designed', 'feature-request']

textid: 198   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*as-designed']

textid: 199   predict_label: ['bug', '*caused-by-extension', '*duplicate', 'needs-more-info', 'debug']

textid: 200   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 201   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', '*as-designed']

textid: 202   predict_label: ['needs-more-info', 'feature-request', 'bug', '*caused-by-extension', '*duplicate']

textid: 203   predict_label: ['*duplicate', 'needs-more-info', 'bug', 'feature-request', '*caused-by-extension']

textid: 204   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', '*caused-by-extension']

textid: 205   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 206   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*as-designed', '*question']

textid: 207   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*question', '*caused-by-extension']

textid: 208   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 209   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 210   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', 'feature-request']

textid: 211   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', '*caused-by-extension']

textid: 212   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 213   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 214   predict_label: ['bug', '*duplicate', 'feature-request', '*caused-by-extension', 'needs-more-info']

textid: 215   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'debug']

textid: 216   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request', 'bug']

textid: 217   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 218   predict_label: ['needs-more-info', '*caused-by-extension', 'bug', '*duplicate', '*question']

textid: 219   predict_label: ['*caused-by-extension', '*duplicate', 'bug', 'needs-more-info', '*question']

textid: 220   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 221   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', 'feature-request']

textid: 222   predict_label: ['*duplicate', 'needs-more-info', 'bug', 'feature-request', '*caused-by-extension']

textid: 223   predict_label: ['*caused-by-extension', 'needs-more-info', 'bug', 'debug', '*duplicate']

textid: 224   predict_label: ['needs-more-info', '*caused-by-extension', '*duplicate', 'bug', '*question']

textid: 225   predict_label: ['*duplicate', '*caused-by-extension', 'needs-more-info', 'bug', 'feature-request']

textid: 226   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*as-designed']

textid: 227   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 228   predict_label: ['*caused-by-extension', 'needs-more-info', '*duplicate', 'bug', '*question']

textid: 229   predict_label: ['*caused-by-extension', 'bug', '*duplicate', 'feature-request', 'needs-more-info']

textid: 230   predict_label: ['needs-more-info', '*caused-by-extension', 'bug', '*duplicate', 'feature-request']

textid: 231   predict_label: ['needs-more-info', '*caused-by-extension', '*duplicate', 'bug', '*question']

textid: 232   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', 'feature-request']

textid: 233   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 234   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 235   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 236   predict_label: ['*caused-by-extension', 'bug', '*duplicate', 'needs-more-info', 'feature-request']

textid: 237   predict_label: ['needs-more-info', '*caused-by-extension', '*duplicate', 'bug', 'feature-request']

textid: 238   predict_label: ['*duplicate', '*caused-by-extension', 'bug', 'needs-more-info', 'feature-request']

textid: 239   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 240   predict_label: ['needs-more-info', '*duplicate', 'bug', 'feature-request', '*caused-by-extension']

textid: 241   predict_label: ['bug', 'needs-more-info', '*duplicate', 'debug', '*caused-by-extension']

textid: 242   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 243   predict_label: ['needs-more-info', '*duplicate', '*caused-by-extension', 'bug', '*question']

textid: 244   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', '*question']

textid: 245   predict_label: ['needs-more-info', '*caused-by-extension', 'bug', '*duplicate', 'feature-request']

textid: 246   predict_label: ['*caused-by-extension', 'needs-more-info', '*duplicate', 'bug', '*question']

textid: 247   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', '*question']

textid: 248   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 249   predict_label: ['needs-more-info', 'feature-request', '*duplicate', '*caused-by-extension', 'bug']

textid: 250   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 251   predict_label: ['bug', '*duplicate', 'feature-request', '*caused-by-extension', 'needs-more-info']

textid: 252   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 253   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 254   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 255   predict_label: ['*duplicate', '*caused-by-extension', 'needs-more-info', 'feature-request', 'bug']

textid: 256   predict_label: ['*duplicate', 'bug', 'feature-request', '*caused-by-extension', 'needs-more-info']

textid: 257   predict_label: ['*caused-by-extension', '*duplicate', 'needs-more-info', '*question', 'bug']

textid: 258   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*question']

textid: 259   predict_label: ['bug', 'needs-more-info', '*caused-by-extension', '*duplicate', 'debug']

textid: 260   predict_label: ['*caused-by-extension', 'bug', 'feature-request', '*duplicate', 'needs-more-info']

textid: 261   predict_label: ['bug', '*caused-by-extension', '*duplicate', 'needs-more-info', 'feature-request']

textid: 262   predict_label: ['*caused-by-extension', 'needs-more-info', '*duplicate', '*question', 'bug']

textid: 263   predict_label: ['*caused-by-extension', 'needs-more-info', '*duplicate', 'bug', 'feature-request']

textid: 264   predict_label: ['*caused-by-extension', 'needs-more-info', 'feature-request', '*question', '*duplicate']

textid: 265   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 266   predict_label: ['*caused-by-extension', 'bug', '*extension-candidate', 'feature-request', '*duplicate']

textid: 267   predict_label: ['*caused-by-extension', 'needs-more-info', 'debug', 'bug', '*duplicate']

textid: 268   predict_label: ['*caused-by-extension', '*duplicate', 'needs-more-info', 'bug', 'feature-request']

textid: 269   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 270   predict_label: ['*caused-by-extension', 'bug', '*duplicate', 'feature-request', 'needs-more-info']

textid: 271   predict_label: ['needs-more-info', '*caused-by-extension', 'bug', '*duplicate', 'feature-request']

textid: 272   predict_label: ['*caused-by-extension', '*duplicate', 'feature-request', 'bug', 'needs-more-info']

textid: 273   predict_label: ['*caused-by-extension', '*duplicate', 'needs-more-info', 'bug', 'feature-request']

textid: 274   predict_label: ['*duplicate', 'needs-more-info', 'bug', 'feature-request', '*caused-by-extension']

textid: 275   predict_label: ['*caused-by-extension', 'bug', 'needs-more-info', '*duplicate', 'feature-request']

textid: 276   predict_label: ['*caused-by-extension', '*duplicate', 'needs-more-info', 'bug', 'feature-request']

